,Date,Action,Ticker,Quantity,Price,Cash
0,2021-06-30,BUY,AUDUSD=X,264256,0.756840169429779,800000.4441871643
1,2021-06-30,BUY,EURUSD=X,167659,1.1928904056549072,600001.6316654682
2,2021-06-30,BUY,GBPUSD=X,144101,1.3879058361053467,400003.01277685165
3,2021-06-30,BUY,NZDUSD=X,283732,0.7048904895782471,200003.02438783646
4,2021-06-30,BUY,USDBRL=X,40610,4.924799919128418,6.899672031402588
5,2021-07-30,SELL,USDBRL=X,40610,5.114799976348877,207718.9267115593
6,2021-07-30,BUY,AUDUSD=X,74347,0.7377101182937622,152872.39254677296
7,2021-07-30,BUY,EURUSD=X,43207,1.1845955848693848,101689.57111132145
8,2021-07-30,BUY,GBPUSD=X,35516,1.3906852006912231,52297.99552357197
9,2021-07-30,BUY,NZDUSD=X,75133,0.6960588693618774,1.0044918060302734
10,2021-08-31,SELL,NZDUSD=X,3999,0.7012377381324768,2805.254206597805
11,2021-08-31,BUY,AUDUSD=X,1535,0.731598436832428,1682.250606060028
12,2021-08-31,BUY,EURUSD=X,37,1.1799006462097168,1638.5942821502686
13,2021-08-31,BUY,GBPUSD=X,1190,1.3762996196746826,0.7977347373962402
14,2021-09-30,SELL,AUDUSD=X,312,0.7244277596473694,226.8191957473755
15,2021-09-30,SELL,EURUSD=X,247,1.1686338186264038,515.4717489480972
16,2021-09-30,SELL,NZDUSD=X,1161,0.6960008144378662,1323.52869451046
17,2021-09-30,BUY,GBPUSD=X,977,1.354224443435669,0.45141327381134033
18,2021-10-29,SELL,AUDUSD=X,5762,0.7500750422477722,4322.383806705475
19,2021-10-29,SELL,NZDUSD=X,353705,0.7163888216018677,257712.69195139408
20,2021-10-29,BUY,EURUSD=X,5352,1.1600120067596436,251504.30769121647
21,2021-10-29,BUY,GBPUSD=X,678,1.3732868432998657,250573.21921145916
22,2021-10-29,BUY,USDRUB=X,3550,70.58049774169922,12.452228426933289
23,2021-11-30,SELL,USDRUB=X,3550,75.5199966430664,268108.4403113127
24,2021-11-30,BUY,AUDUSD=X,13869,0.7142806053161621,258202.08259618282
25,2021-11-30,BUY,EURUSD=X,4055,1.1293182373046875,253622.69714391232
26,2021-11-30,BUY,GBPUSD=X,3822,1.334098219871521,248523.77374756336
27,2021-11-30,BUY,NZDUSD=X,364064,0.6826311349868774,2.3522197008132935
28,2021-12-31,SELL,GBPUSD=X,186284,1.349879264831543,251463.26118957996
29,2021-12-31,BUY,AUDUSD=X,112669,0.7258790135383606,169679.1986132264
30,2021-12-31,BUY,EURUSD=X,74247,1.1360150575637817,85333.48863428831
31,2021-12-31,BUY,NZDUSD=X,124760,0.6839711666107178,1.2458879351615906
32,2022-01-31,SELL,EURUSD=X,3055,1.1147029399871826,3406.6633695960045
33,2022-01-31,BUY,AUDUSD=X,861,0.7035500407218933,2800.9067845344543
34,2022-01-31,BUY,NZDUSD=X,4253,0.6584405303001404,0.5592091679573059
35,2022-02-28,SELL,AUDUSD=X,2390,0.7160200476646423,1711.8471230864525
36,2022-02-28,SELL,NZDUSD=X,1583,0.6687889695167542,2770.5400618314743
37,2022-02-28,BUY,EURUSD=X,2475,1.11906898021698,0.8443357944488525
38,2022-03-31,SELL,AUDUSD=X,459073,0.7514672875404358,344979.1864288449
39,2022-03-31,SELL,NZDUSD=X,491494,0.6943190693855286,686232.8431174159
40,2022-03-31,BUY,EURUSD=X,10413,1.1091516017913818,674683.2474879622
41,2022-03-31,BUY,GBPUSD=X,257634,1.3093804121017456,337342.3343965411
42,2022-03-31,BUY,USDBRL=X,70926,4.756199836730957,4.104776561260223
43,2022-04-29,SELL,EURUSD=X,68190,1.0555092096328735,71979.2777814269
44,2022-04-29,SELL,GBPUSD=X,59059,1.2541857957839966,146050.23669463396
45,2022-04-29,SELL,USDBRL=X,70926,4.963600158691406,498098.54154998064
46,2022-04-29,BUY,AUDUSD=X,349508,0.7125704288482666,249049.47610408068
47,2022-04-29,BUY,NZDUSD=X,380682,0.6542190313339233,0.06681782007217407
48,2022-05-31,SELL,AUDUSD=X,349508,0.7162810564041138,250346.02627950907
49,2022-05-31,BUY,EURUSD=X,75612,1.0731456279754639,169203.3390570283
50,2022-05-31,BUY,GBPUSD=X,66191,1.262833595275879,85615.1205521226
51,2022-05-31,BUY,NZDUSD=X,131026,0.6534098386764526,1.4430297017097473
52,2022-06-30,SELL,EURUSD=X,81181,1.0523545742034912,85432.63971811533
53,2022-06-30,SELL,GBPUSD=X,65873,1.2189769744873047,165730.30995851755
54,2022-06-30,SELL,NZDUSD=X,122993,0.6237096786499023,242442.234464705
55,2022-06-30,BUY,AUDUSD=X,351141,0.6904398798942566,0.4845987558364868
56,2022-07-29,SELL,AUDUSD=X,351141,0.6994900107383728,245620.1064594388
57,2022-07-29,SELL,NZDUSD=X,388715,0.6260290145874023,488966.9748647809
58,2022-07-29,BUY,EURUSD=X,242757,1.0209290981292725,241129.2897902131
59,2022-07-29,BUY,GBPUSD=X,198246,1.2163082361221313,1.0472119450569153
60,2022-08-31,SELL,EURUSD=X,160462,1.0014019012451172,160687.99908953905
61,2022-08-31,SELL,GBPUSD=X,130031,1.172250509262085,313116.9050593972
62,2022-08-31,BUY,NZDUSD=X,508248,0.6160708069801331,0.1495533585548401
63,2022-09-27,SELL,GBPUSD=X,267108,1.0797386169433594,288406.9720478654
64,2022-09-30,SELL,EURUSD=X,9634,0.9708172082901001,297759.8250325322
65,2022-09-30,BUY,GBPUSD=X,271503,1.0835996866226196,3559.259315431118
66,2022-09-30,BUY,NZDUSD=X,6224,0.5718501210212708,0.06416219472885132
