,Date,Action,Ticker,Quantity,Price,Cash
0,2021-06-30,BUY,EURUSD=X,241599,1.1928904056549072,711798.8708841801
1,2021-06-30,BUY,GBPUSD=X,1,1.3879058361053467,711797.482978344
2,2021-06-30,BUY,USDBRL=X,3214,4.924799919128418,695969.1760382652
3,2021-06-30,BUY,USDCAD=X,2,1.2333999872207642,695966.7092382908
4,2021-06-30,BUY,USDCHF=X,756797,0.9196100234985352,8.602284669876099
5,2021-06-30,BUY,USDSGD=X,1,1.3427300453186035,7.259554624557495
6,2021-07-30,SELL,EURUSD=X,201764,1.1845955848693848,239016.0031402111
7,2021-07-30,SELL,USDCHF=X,704913,0.909500002861023,880134.3786569834
8,2021-07-30,BUY,AUDUSD=X,63965,0.7377101182937622,832946.7509403229
9,2021-07-30,BUY,GBPUSD=X,33930,1.3906852006912231,785760.8020808697
10,2021-07-30,BUY,NZDUSD=X,67793,0.6960588693618774,738572.8831502199
11,2021-07-30,BUY,USDBRL=X,6011,5.114799976348877,707827.8204923868
12,2021-07-30,BUY,USDCAD=X,37689,1.2519700527191162,660642.321175456
13,2021-07-30,BUY,USDCLP=X,61,761.4000244140625,614196.9196861982
14,2021-07-30,BUY,USDCNY=X,7271,6.4893999099731445,567012.4929407835
15,2021-07-30,BUY,USDHUF=X,155,304.0,519892.4929407835
16,2021-07-30,BUY,USDIDR=X,3,14462.599609375,476504.6941126585
17,2021-07-30,BUY,USDINR=X,634,74.38999938964844,429341.4344996214
18,2021-07-30,BUY,USDJPY=X,429,109.89099884033203,382198.19599711895
19,2021-07-30,BUY,USDKRW=X,41,1149.4100341796875,335072.38459575176
20,2021-07-30,BUY,USDMXN=X,2369,19.913799285888672,287896.5940874815
21,2021-07-30,BUY,USDPLN=X,12173,3.876300096511841,240710.39301264286
22,2021-07-30,BUY,USDRUB=X,642,73.4386978149414,193562.74901545048
23,2021-07-30,BUY,USDSGD=X,34796,1.3560999631881714,146375.89469635487
24,2021-07-30,BUY,USDTHB=X,1438,32.810001373291016,99195.11272156239
25,2021-07-30,BUY,USDTRY=X,5518,8.551259994506836,52009.260071873665
26,2021-07-30,BUY,USDZAR=X,3205,14.719400405883789,4833.581771016121
27,2021-08-31,SELL,NZDUSD=X,585,0.7012377381324768,5243.80584782362
28,2021-08-31,SELL,USDBRL=X,166,5.2027997970581055,6107.470614135265
29,2021-08-31,SELL,USDCAD=X,319,1.2611000537872314,6509.761531293392
30,2021-08-31,SELL,USDCHF=X,162,0.9111999869346619,6657.375929176807
31,2021-08-31,SELL,USDMXN=X,31,20.1643009185791,7282.46925765276
32,2021-08-31,SELL,USDPLN=X,8,3.874300003051758,7313.463657677174
33,2021-08-31,BUY,AUDUSD=X,453,0.731598436832428,6982.049565792084
34,2021-08-31,BUY,EURUSD=X,107,1.1799006462097168,6855.800196647644
35,2021-08-31,BUY,GBPUSD=X,311,1.3762996196746826,6427.771014928818
36,2021-08-31,BUY,USDCNY=X,12,6.470799922943115,6350.1214158535
37,2021-08-31,BUY,USDHUF=X,4,295.718994140625,5167.245439291
38,2021-08-31,BUY,USDINR=X,7,73.49659729003906,4652.769258260727
39,2021-08-31,BUY,USDSGD=X,242,1.3450000286102295,4327.279251337051
40,2021-08-31,BUY,USDTHB=X,11,32.52000045776367,3969.559246301651
41,2021-08-31,BUY,USDTRY=X,127,8.34862995147705,2909.2832424640656
42,2021-09-30,SELL,AUDUSD=X,64417,0.7244277596473694,49574.74623566866
43,2021-09-30,SELL,EURUSD=X,39941,1.1686338186264038,96251.14958542585
44,2021-09-30,SELL,GBPUSD=X,34242,1.354224443435669,142622.50297755003
45,2021-09-30,SELL,NZDUSD=X,67207,0.6960008144378662,189398.6297134757
46,2021-09-30,SELL,USDBRL=X,9058,5.427599906921387,238561.82967036963
47,2021-09-30,SELL,USDCAD=X,37372,1.267699956893921,285938.31245940924
48,2021-09-30,SELL,USDCLP=X,61,802.1699829101562,334870.68141692877
49,2021-09-30,SELL,USDCNY=X,7283,6.459000110626221,381911.57922261953
50,2021-09-30,SELL,USDHUF=X,158,307.5199890136719,430499.7374867797
51,2021-09-30,SELL,USDIDR=X,2,14318.599609375,459136.9367055297
52,2021-09-30,SELL,USDINR=X,640,74.16329956054688,506601.4484242797
53,2021-09-30,SELL,USDJPY=X,429,111.52799987792969,554446.9603719115
54,2021-09-30,SELL,USDKRW=X,41,1186.8900146484375,603109.4509724975
55,2021-09-30,SELL,USDMXN=X,2337,20.329769134521484,650620.1214398742
56,2021-09-30,SELL,USDPLN=X,12165,3.9657700061798096,698863.7135650516
57,2021-09-30,SELL,USDRUB=X,641,72.83920288085938,745553.6426116824
58,2021-09-30,SELL,USDSGD=X,35039,1.3569899797439575,793101.214511931
59,2021-09-30,SELL,USDTHB=X,1448,33.84000015258789,842101.5347328782
60,2021-09-30,SELL,USDTRY=X,5645,8.866900444030762,892155.1877394319
61,2021-09-30,SELL,USDZAR=X,3205,15.090800285339355,940521.2026539445
62,2021-09-30,BUY,USDCHF=X,1012227,0.9291599988937378,0.3644537329673767
63,2021-10-29,SELL,AUDUSD=X,1,0.7500750422477722,1.114528775215149
64,2021-10-29,SELL,USDBRL=X,1,5.534999847412109,6.649528622627258
65,2021-10-29,SELL,USDCHF=X,465355,0.9179999828338623,427202.5315402746
66,2021-10-29,SELL,USDIDR=X,1,14217.099609375,441419.6311496496
67,2021-10-29,BUY,GBPUSD=X,49394,1.3732868432998657,373587.50081169605
68,2021-10-29,BUY,NZDUSD=X,155114,0.7163888216018677,262465.56513774395
69,2021-10-29,BUY,USDSGD=X,194577,1.3488999605178833,0.657520055770874
70,2021-11-30,SELL,EURUSD=X,1,1.1293182373046875,1.7868382930755615
