,Date,Action,Ticker,Quantity,Price,Cash
0,2019-01-31,BUY,NZDUSD=X,732814,0.6823004484176636,500000.6791932583
1,2019-01-31,BUY,USDSEK=X,55164,9.063739776611328,8.538156270980835
2,2019-02-28,SELL,NZDUSD=X,732814,0.6895790696144104,505341.7344766855
3,2019-02-28,SELL,USDSEK=X,344,9.276639938354492,508532.89861547947
4,2019-02-28,BUY,USDJPY=X,4599,110.55599975585938,85.85573828220367
5,2019-03-29,SELL,USDJPY=X,4599,110.48999786376953,508229.3559137583
6,2019-03-29,BUY,USDTRY=X,94207,5.394700050354004,10.848270058631897
7,2019-04-30,SELL,USDTRY=X,3256,5.944699764251709,19366.790702462196
8,2019-04-30,BUY,USDSEK=X,2036,9.509300231933594,5.855430245399475
9,2019-05-31,SELL,USDTRY=X,365,6.016600131988525,2201.9144784212112
10,2019-05-31,BUY,USDSEK=X,230,9.547209739685059,6.056238293647766
11,2019-06-28,SELL,USDSEK=X,57086,9.258959770202637,528563.0336800814
12,2019-06-28,SELL,USDTRY=X,90586,5.770899772644043,1051325.7604848146
13,2019-06-28,BUY,NZDUSD=X,786838,0.66806960105896,525663.2117267847
14,2019-06-28,BUY,USDJPY=X,4879,107.73799896240234,9.51478922367096
15,2019-07-31,SELL,USDJPY=X,43,108.86599731445312,4690.752673745155
16,2019-07-31,BUY,NZDUSD=X,7074,0.6630904078483582,0.05112862586975098
17,2019-08-30,SELL,NZDUSD=X,793912,0.6337296366691589,503125.6144359112
18,2019-08-30,SELL,USDJPY=X,4836,106.06999969482422,1016080.1329600811
19,2019-08-30,BUY,USDSEK=X,52274,9.71875,508042.1954600811
20,2019-08-30,BUY,USDTRY=X,87254,5.822500228881836,5.760489225387573
21,2019-09-30,SELL,USDSEK=X,52274,9.760760307312012,510239.7447936535
22,2019-09-30,BUY,USDJPY=X,4661,107.75599670410156,7989.044155836105
23,2019-09-30,BUY,USDTRY=X,1405,5.66519021987915,29.451896905899048
24,2019-10-31,SELL,USDTRY=X,206,5.750899791717529,1214.13725399971
25,2019-10-31,BUY,USDJPY=X,11,108.8740005493164,16.523247957229614
26,2019-11-29,SELL,USDTRY=X,88453,5.778600215911865,511151.04814600945
27,2019-11-29,BUY,NZDUSD=X,796906,0.6413010954856873,94.35734689235687
28,2019-12-31,SELL,NZDUSD=X,17219,0.6706413626670837,11642.130970656872
29,2019-12-31,SELL,USDJPY=X,4672,109.4280014038086,522889.7535292506
30,2019-12-31,BUY,USDTRY=X,87898,5.948790073394775,3.0036579966545105
