,Date,Action,Ticker,Quantity,Price,Cash
0,2019-05-31,BUY,USDCAD=X,370041,1.351199984550476,500000.6065169573
1,2019-05-31,BUY,USDSGD=X,362177,1.3805400133132935,0.7661151885986328
2,2019-06-28,SELL,USDCAD=X,370041,1.3121000528335571,485531.5817657709
3,2019-06-28,SELL,USDSGD=X,1814,1.354159951210022,487988.0279172659
4,2019-06-28,BUY,USDMXN=X,25500,19.136699676513672,2.1861661672592163
5,2019-07-31,SELL,USDMXN=X,25500,19.04669952392578,485693.0240262747
6,2019-07-31,SELL,USDSGD=X,360363,1.3697999715805054,979318.2511849403
7,2019-07-31,BUY,USDJPY=X,4497,108.86599731445312,489747.86126184464
8,2019-07-31,BUY,USDPLN=X,127255,3.8478500843048096,89.69878363609314
9,2019-08-30,SELL,USDJPY=X,4497,106.06999969482422,477086.4874112606
10,2019-08-30,SELL,USDPLN=X,3392,3.9602200984954834,490519.5539853573
11,2019-08-30,BUY,USDMXN=X,24356,20.139400482177734,4.315841436386108
12,2019-09-30,SELL,USDMXN=X,24356,19.65703010559082,478770.9410932064
13,2019-09-30,SELL,USDPLN=X,2298,4.014289855957031,487995.77918219566
14,2019-09-30,BUY,USDJPY=X,4528,107.75599670410156,76.62610602378845
15,2019-10-31,SELL,USDJPY=X,121,108.8740005493164,13250.380172491074
16,2019-10-31,SELL,USDPLN=X,121565,3.8378000259399414,479792.54032588005
17,2019-10-31,BUY,USDSGD=X,352270,1.3619999885559082,0.8043572902679443
18,2019-11-29,SELL,USDJPY=X,4407,109.36699676513672,481981.1591012478
19,2019-11-29,SELL,USDSGD=X,352270,1.3657900094985962,963108.0057473183
20,2019-11-29,BUY,USDMXN=X,24626,19.554649353027344,481555.2107796669
21,2019-11-29,BUY,USDPLN=X,122992,3.915299892425537,4.6464104652404785
22,2019-12-31,SELL,USDMXN=X,24626,18.827899932861328,463660.5101571083
23,2019-12-31,SELL,USDPLN=X,122992,3.809689998626709,932221.9024682045
24,2019-12-31,BUY,USDJPY=X,4259,109.4280014038086,466168.0444893837
25,2019-12-31,BUY,USDSGD=X,344723,1.3521300554275513,57.71539223194122
26,2020-01-31,SELL,USDJPY=X,4259,108.98699951171875,464233.3463126421
27,2020-01-31,SELL,USDSGD=X,344723,1.3601000308990479,933091.1092642546
28,2020-01-31,BUY,USDCAD=X,353523,1.319700002670288,466546.8052202463
29,2020-01-31,BUY,USDPLN=X,119906,3.890899896621704,4.5622159242630005
30,2020-02-28,SELL,USDCAD=X,353523,1.334529995918274,471791.6099629402
31,2020-02-28,SELL,USDPLN=X,453,3.9646999835968018,473587.61905550957
32,2020-02-28,BUY,USDSGD=X,338908,1.3973900079727173,0.966233491897583
33,2020-03-31,SELL,USDPLN=X,119453,4.073299884796143,486568.8573720455
34,2020-03-31,SELL,USDSGD=X,338908,1.4292000532150269,970936.1890070438
35,2020-03-31,BUY,USDCAD=X,345605,1.4046900272369385,485468.2921438217
36,2020-03-31,BUY,USDMXN=X,20575,23.594600677490234,9.383204460144043
37,2020-04-30,SELL,USDCAD=X,345605,1.398300051689148,483268.8725684881
38,2020-04-30,SELL,USDMXN=X,336,24.283599853515625,491428.1621192694
39,2020-04-30,BUY,USDPLN=X,117051,4.198400020599365,1.2413080930709839
40,2020-05-29,SELL,USDMXN=X,20239,22.31138038635254,451561.2689474821
41,2020-05-29,SELL,USDPLN=X,117051,4.019480228424072,922045.4491647482
42,2020-05-29,BUY,USDJPY=X,4276,107.7979965209961,461101.2160409689
43,2020-05-29,BUY,USDSGD=X,324794,1.4194300174713135,78.86294639110565
44,2020-06-30,SELL,USDJPY=X,27,107.21800231933594,2973.749009013176
45,2020-06-30,BUY,USDSGD=X,2134,1.3933099508285522,0.4255739450454712
46,2020-07-31,SELL,USDJPY=X,4249,105.03199768066406,446281.38371908665
47,2020-07-31,SELL,USDSGD=X,1136,1.3746299743652344,447842.96336996555
48,2020-07-31,BUY,USDMXN=X,20381,21.97249984741211,21.443979859352112
49,2020-08-31,SELL,USDMXN=X,139,22.13290023803711,3097.9171129465103
50,2020-08-31,SELL,USDSGD=X,325792,1.365630030632019,448009.25605261326
51,2020-08-31,BUY,USDJPY=X,4201,106.63700103759766,27.214693665504456
52,2020-09-30,SELL,USDJPY=X,4201,105.43299865722656,442951.2420526743
53,2020-09-30,SELL,USDMXN=X,211,22.34910011291504,447666.90217649937
54,2020-09-30,BUY,USDPLN=X,114011,3.926500082015991,2.70132577419281
55,2020-10-30,SELL,USDPLN=X,3006,3.938699960708618,11842.433407664299
56,2020-10-30,BUY,USDMXN=X,557,21.235599517822266,14.204476237297058
57,2020-11-30,SELL,USDMXN=X,20588,20.02910041809082,412373.3238838911
58,2020-11-30,SELL,USDPLN=X,111005,3.7571699619293213,829437.9755078554
59,2020-11-30,BUY,USDCAD=X,318514,1.3020399808883667,414720.0130351782
60,2020-11-30,BUY,USDJPY=X,3978,104.24199676513672,45.34990346431732
61,2020-12-31,SELL,USDCAD=X,318514,1.2822099924087524,408447.1834255457
62,2020-12-31,SELL,USDJPY=X,16,103.55899810791016,410104.12739527225
63,2020-12-31,BUY,USDSGD=X,309006,1.3271700143814087,0.6299313306808472
