,Date,Action,Ticker,Quantity,Price,Cash
0,2021-06-30,BUY,USDCAD=X,81076,1.2333999872207642,900000.8626360893
1,2021-06-30,BUY,USDCHF=X,108741,0.9196100234985352,800001.5490708351
2,2021-06-30,BUY,USDHUF=X,340,293.6780090332031,700151.025999546
3,2021-06-30,BUY,USDIDR=X,6,14525.0,613001.025999546
4,2021-06-30,BUY,USDINR=X,1346,74.285400390625,513012.8770737648
5,2021-06-30,BUY,USDKRW=X,88,1129.0400390625,413657.3536362648
6,2021-06-30,BUY,USDPLN=X,26504,3.7728800773620605,313660.94006586075
7,2021-06-30,BUY,USDTHB=X,3134,31.899999618530273,213686.34126138687
8,2021-06-30,BUY,USDTRY=X,11516,8.683099746704102,113691.76457834244
9,2021-06-30,BUY,USDZAR=X,7018,14.247400283813477,13703.50938653946
10,2021-07-30,SELL,USDCAD=X,174,1.2519700527191162,13921.352175712585
11,2021-07-30,SELL,USDCHF=X,108741,0.909500002861023,112821.29198682308
12,2021-07-30,SELL,USDHUF=X,6,304.0,114645.29198682308
13,2021-07-30,SELL,USDIDR=X,6,14462.599609375,201420.88964307308
14,2021-07-30,SELL,USDINR=X,1346,74.38999938964844,301549.8288215399
15,2021-07-30,SELL,USDPLN=X,374,3.876300096511841,302999.5650576353
16,2021-07-30,SELL,USDTHB=X,46,32.810001373291016,304508.8251208067
17,2021-07-30,SELL,USDTRY=X,11516,8.551259994506836,402985.1352175474
18,2021-07-30,SELL,USDZAR=X,136,14.719400405883789,404986.9736727476
19,2021-07-30,BUY,USDBRL=X,19802,5.114799976348877,303703.70454108715
20,2021-07-30,BUY,USDCLP=X,133,761.4000244140625,202437.50129401684
21,2021-07-30,BUY,USDCNY=X,15607,6.4893999099731445,101157.43689906597
22,2021-07-30,BUY,USDSGD=X,74594,1.3560999631881714,0.5162450075149536
23,2021-08-31,SELL,USDBRL=X,306,5.2027997970581055,1592.5729829072952
24,2021-08-31,SELL,USDCAD=X,472,1.2611000537872314,2187.8122082948685
25,2021-08-31,SELL,USDCLP=X,3,782.7000122070312,4535.912244915962
26,2021-08-31,SELL,USDCNY=X,15607,6.470799922943115,105525.68664228916
27,2021-08-31,SELL,USDHUF=X,334,295.718994140625,204295.8306852579
28,2021-08-31,SELL,USDSGD=X,74594,1.3450000286102295,304624.76281940937
29,2021-08-31,SELL,USDTHB=X,3088,32.52000045776367,405046.5242329836
30,2021-08-31,BUY,GBPUSD=X,73697,1.3762996196746826,303617.3711618185
31,2021-08-31,BUY,NZDUSD=X,144644,0.7012377381324768,202187.53976738453
32,2021-08-31,BUY,USDJPY=X,923,109.86499786376953,100782.14673912525
33,2021-08-31,BUY,USDMXN=X,4998,20.1643009185791,0.9707480669021606
34,2021-08-31,BUY,USDPLN=X,0,3.874300003051758,0.9707480669021606
35,2021-08-31,BUY,USDZAR=X,0,14.705699920654297,0.9707480669021606
36,2021-09-30,SELL,GBPUSD=X,73697,1.354224443435669,99803.2495559454
37,2021-09-30,SELL,NZDUSD=X,144644,0.6960008144378662,200475.59135949612
38,2021-09-30,SELL,USDBRL=X,537,5.427599906921387,203390.2125095129
39,2021-09-30,SELL,USDCAD=X,80430,1.267699956893921,305351.32004249096
40,2021-09-30,SELL,USDCLP=X,1,802.1699829101562,306153.4900254011
41,2021-09-30,SELL,USDKRW=X,88,1186.8900146484375,410599.8113144636
42,2021-09-30,SELL,USDPLN=X,182,3.9657700061798096,411321.58145558834
43,2021-09-30,SELL,USDZAR=X,63,15.090800285339355,412272.3018735647
44,2021-09-30,BUY,USDCHF=X,110746,0.9291599988937378,309371.54863607883
45,2021-09-30,BUY,USDHUF=X,334,307.5199890136719,206659.87230551243
46,2021-09-30,BUY,USDMXN=X,63,20.329769134521484,205379.09685003757
47,2021-09-30,BUY,USDTHB=X,3040,33.84000015258789,102505.49638617039
48,2021-09-30,BUY,USDTRY=X,11560,8.866900444030762,4.127253174781799
49,2021-10-29,SELL,USDBRL=X,173,5.534999847412109,961.6822267770767
