,Date,Action,Ticker,Quantity,Price,Cash
0,2019-01-31,BUY,AUDUSD=X,698400,0.7159220576286316,500000.0349521637
1,2019-01-31,BUY,USDKRW=X,447,1117.8699951171875,312.1471347808838
2,2019-02-28,SELL,AUDUSD=X,698400,0.719398558139801,502740.1001396179
3,2019-02-28,SELL,USDKRW=X,447,1114.300048828125,1000832.2219657898
4,2019-02-28,BUY,USDMXN=X,26083,19.18501091003418,500429.5823993683
5,2019-02-28,BUY,USDZAR=X,36188,13.828049659729004,20.121313095092773
6,2019-03-29,SELL,USDMXN=X,26083,19.363849639892578,505087.4114704132
7,2019-03-29,SELL,USDZAR=X,795,14.599100112915039,516693.69606018066
8,2019-03-29,BUY,USDKRW=X,453,1138.5,953.1960601806641
9,2019-04-30,SELL,USDKRW=X,6,1157.72998046875,7899.575942993164
10,2019-04-30,BUY,USDZAR=X,550,14.35260009765625,5.6458892822265625
11,2019-05-31,SELL,USDKRW=X,2,1192.2099609375,2390.0658111572266
12,2019-05-31,BUY,USDZAR=X,163,14.62909984588623,5.522536277770996
13,2019-06-28,SELL,USDKRW=X,445,1152.5,512868.0225362778
14,2019-06-28,SELL,USDZAR=X,36106,14.220100402832031,1026298.9676809311
15,2019-06-28,BUY,AUDUSD=X,734476,0.6986606121063232,513149.5159435272
16,2019-06-28,BUY,USDMXN=X,26814,19.136699676513672,18.050817489624023
17,2019-07-31,SELL,USDMXN=X,26814,19.04669952392578,510736.2518520355
18,2019-07-31,BUY,AUDUSD=X,2892,0.6899406909942627,508740.9433736801
19,2019-07-31,BUY,USDKRW=X,430,1181.8499755859375,545.4538717269897
20,2019-08-30,SELL,AUDUSD=X,737368,0.6739588975906372,497501.17827033997
21,2019-08-30,SELL,USDKRW=X,430,1211.3699951171875,1018390.2761707306
22,2019-08-30,BUY,USDMXN=X,25283,20.139400482177734,509205.81377983093
23,2019-08-30,BUY,USDZAR=X,33071,15.396599769592285,24.862799644470215
24,2019-09-30,SELL,USDMXN=X,7,19.65703010559082,162.46201038360596
25,2019-09-30,SELL,USDZAR=X,33071,15.018099784851074,496826.0399951935
26,2019-09-30,BUY,AUDUSD=X,735600,0.6754018664360046,0.4270448684692383
27,2019-10-31,SELL,AUDUSD=X,15581,0.6855888962745667,10682.587637722492
28,2019-10-31,SELL,USDMXN=X,25276,19.107200622558594,493636.1905735135
29,2019-10-31,BUY,USDZAR=X,33764,14.619999885559082,6.51443749666214
30,2019-11-29,SELL,USDZAR=X,33764,14.759400367736816,498342.90845376253
31,2019-11-29,BUY,AUDUSD=X,8195,0.6767200231552124,492797.18786400557
32,2019-11-29,BUY,USDMXN=X,25201,19.554649353027344,0.46951836347579956
33,2019-12-31,SELL,AUDUSD=X,24365,0.6982996463775635,17014.54040235281
34,2019-12-31,SELL,USDMXN=X,25201,18.827899932861328,491496.44661039114
35,2019-12-31,BUY,USDKRW=X,423,1160.6800537109375,528.7838906645775
