,Date,Action,Ticker,Quantity,Price,Cash
0,2019-01-31,BUY,GBPUSD=X,670307,1.30804443359375,123208.65985107422
1,2019-01-31,BUY,USDTRY=X,23210,5.3084001541137695,0.6922740936279297
2,2019-02-28,SELL,USDTRY=X,3886,5.303800106048584,20611.259486198425
3,2019-02-28,BUY,GBPUSD=X,15546,1.3258028030395508,0.32911014556884766
4,2019-03-29,SELL,USDTRY=X,17259,5.394700050354004,93107.45727920532
5,2019-03-29,BUY,GBPUSD=X,70789,1.3152703046798706,0.7876812219619751
6,2019-04-30,SELL,GBPUSD=X,31269,1.2920230627059937,40401.05682897568
7,2019-04-30,BUY,USDTRY=X,6796,5.944699764251709,0.8772311210632324
8,2019-05-31,SELL,GBPUSD=X,570635,1.2629451751708984,720681.5972647667
9,2019-05-31,BUY,USDTRY=X,119782,6.016600131988525,1.2002549171447754
10,2019-06-28,SELL,USDTRY=X,42646,5.770899772644043,246106.991959095
11,2019-06-28,BUY,EURUSD=X,185810,1.1374752521514893,34752.71535682678
12,2019-06-28,BUY,GBPUSD=X,27367,1.269841194152832,0.9713964462280273
13,2019-07-31,SELL,EURUSD=X,185809,1.1143054962158203,207048.96134281158
14,2019-07-31,SELL,GBPUSD=X,182105,1.2217471599578857,429535.22790694237
15,2019-07-31,BUY,USDJPY=X,116,108.86599731445312,416906.7722184658
16,2019-07-31,BUY,USDTRY=X,74208,5.617099761962891,73.03308272361755
17,2019-08-30,SELL,USDJPY=X,82,106.06999969482422,8770.773057699203
18,2019-08-30,BUY,USDTRY=X,1506,5.822500228881836,2.0877130031585693
19,2019-09-30,SELL,EURUSD=X,1,1.0922753810882568,3.179988384246826
20,2019-09-30,SELL,USDTRY=X,1555,5.66519021987915,8812.550780296326
21,2019-09-30,BUY,USDJPY=X,81,107.75599670410156,84.31504726409912
22,2019-10-31,SELL,USDJPY=X,60,108.8740005493164,6616.7550802230835
23,2019-10-31,SELL,USDTRY=X,56133,5.750899791717529,329432.01308870316
24,2019-10-31,BUY,GBPUSD=X,256034,1.2866700887680054,0.723581075668335
25,2019-11-29,SELL,USDTRY=X,760,5.778600215911865,4392.459745168686
26,2019-11-29,BUY,GBPUSD=X,2772,1.2929919958114624,808.2859327793121
27,2019-11-29,BUY,USDJPY=X,7,109.36699676513672,42.7169554233551
28,2019-12-31,SELL,USDJPY=X,62,109.4280014038086,6827.253042459488
29,2019-12-31,SELL,USDTRY=X,88067,5.948790073394775,530719.3484361172
30,2019-12-31,BUY,GBPUSD=X,405379,1.3091918230056763,0.4764178991317749
